EXHAUSTIVE | 26.20  100.00 | (350.00, 280.00, 340.00, 170.00) <1.066750>
OURS       | 26.30  100.00 | (362.65, 251.25, 376.87, 162.18) <0.000000>
EXHAUSTIVE | 30.20  99.99  | (270.00, 330.00, 390.00, 260.00) <1.042712>
OURS       | 30.31  100.00 | (275.25, 295.55, 422.22, 261.13) <0.000000>
EXHAUSTIVE | 25.40  100.00 | (320.00, 200.00, 250.00, 250.00) <1.085994>
OURS       | 25.54  100.00 | (319.63, 169.51, 282.51, 252.69) <0.000001>
EXHAUSTIVE | 27.20  99.98  | (200.00, 350.00, 410.00, 200.00) <1.063396>
OURS       | 27.11  100.00 | (232.86, 323.38, 431.17, 184.09) <0.000001>
EXHAUSTIVE | 31.60  99.98  | (320.00, 450.00, 350.00, 230.00) <1.035439>
OURS       | 31.84  100.00 | (356.87, 518.68, 279.29, 218.53) <0.000000>

EXHAUSTIVE | 44.40  99.99  | (490.00, 410.00, 620.00, 620.00, 350.00) <113.577881>
OURS       | 47.96  100.00 | (536.45, 492.28, 676.89, 369.21, 346.28) <0.000000>
EXHAUSTIVE | 28.40  99.93  | (290.00, 230.00, 580.00, 580.00, 160.00) <130.163598>
OURS       | 30.97  100.00 | (329.23, 203.20, 457.21, 711.22, 152.40) <0.000000>
EXHAUSTIVE | 49.40  99.97  | (480.00, 380.00, 570.00, 570.00, 520.00) <116.403386>
OURS       | 50.47  100.00 | (526.88, 457.89, 457.89, 534.20, 502.37) <0.000000>
EXHAUSTIVE | 49.00  100.00 | (540.00, 370.00, 840.00, 840.00, 350.00) <110.884336>
OURS       | 50.70  100.00 | (595.73, 361.07, 902.67, 722.13, 337.75) <0.000000>
EXHAUSTIVE | 38.80  99.99  | (480.00, 540.00, 540.00, 540.00, 190.00) <127.823276>
OURS       | 43.46  100.00 | (531.48, 798.55, 425.89, 266.18, 208.46) <0.000001>

EXHAUSTIVE | 22.80  99.98  | (160.00, 370.00, 330.00, 700.00, 140.00) <140.671401>
OURS       | 22.74  100.00 | (184.68, 394.85, 296.14, 690.99, 130.59) <0.000000>
EXHAUSTIVE | 36.00  99.98  | (430.00, 450.00, 280.00, 730.00, 320.00) <119.993561>
OURS       | 37.43  100.00 | (473.92, 571.57, 214.34, 643.01, 305.91) <0.000000>
EXHAUSTIVE | 42.60  99.99  | (540.00, 510.00, 420.00, 930.00, 330.00) <111.368507>
OURS       | 44.53  100.00 | (558.33, 600.60, 400.40, 734.07, 333.67) <0.000000>
EXHAUSTIVE | 40.20  99.99  | (440.00, 550.00, 320.00, 870.00, 350.00) <112.756346>
OURS       | 43.63  100.00 | (467.05, 594.46, 198.15, 990.77, 361.78) <0.000001>
EXHAUSTIVE | 27.80  99.99  | (210.00, 260.00, 360.00, 620.00, 280.00) <132.610629>
OURS       | 33.56  100.00 | (259.06, 179.88, 239.84, 839.44, 289.64) <0.000000>

EXHAUSTIVE | 40.60  99.98  | (370.00, 460.00, 620.00, 460.00, 620.00, 290.00)  <35839.514586> 40.6
OURS       | 45.45  100.00 | (426.38, 438.74, 511.86, 292.49, 804.35, 301.49) <0.000000> 45.44
EXHAUSTIVE | 35.60  100.00 | (260.00, 470.00, 390.00, 520.00, 340.00, 330.00)  <39003.911435> 35.6
OURS       | 36.77  100.00 | (303.20, 572.38, 327.07, 572.38, 245.30, 318.00) <0.000000> 36.78
EXHAUSTIVE | 28.60  99.99  | (240.00, 260.00, 490.00, 260.00, 490.00, 220.00)  <41802.150233> 28.6
OURS       | 31.90  100.00 | (282.38, 218.73, 656.19, 145.82, 510.37, 218.73) <0.000000> 31.9 
EXHAUSTIVE | 28.20  100.00 | (180.00, 230.00, 600.00, 420.00, 410.00, 200)  <41538.063383> 28.2
OURS       | 29.31  100.00 | (209.67, 134.30, 738.64, 470.04, 402.89, 191.40) <0.000000> 29.3
EXHAUSTIVE | 40.00  100.00 | (340.00, 550.00, 490.00, 630.00, 410.00, 310)  <35521.692191> 40
OURS       | 41.31  100.00 | (380.24, 614.56, 384.10, 768.20, 307.28, 304.87) <0.000000> 41.3
